kWhDelivered,effective_charging_duration_min,post_charge_duration_min,total_session_duration_min,kWh_per_min_total_session,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,disconnectTime_year,disconnectTime_month,disconnectTime_day,disconnectTime_hour,disconnectTime_min,disconnectTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
7.108,552.9166666666666,1.2,554.1166666666667,0.0128276235449815,0.012855463451394123,2018,4,26,13,54,17,2018,4,26,23,8,24,2018,4,26,23,7,12
13.155,566.9,45.71666666666667,612.6166666666667,0.021473460837391517,0.023205150820250486,2018,4,26,14,47,8,2018,4,27,0,59,45,2018,4,27,0,14,2
7.186,69.73333333333333,461.73333333333335,531.4666666666667,0.013521073758153536,0.10304971319311663,2018,4,26,14,59,44,2018,4,26,23,51,12,2018,4,26,16,9,28
2.354,61.03333333333333,484.05,545.0833333333334,0.004318605717780156,0.038569087930092845,2018,4,26,15,5,16,2018,4,27,0,10,21,2018,4,26,16,6,18
13.413,124.05,366.5,490.55,0.027342778513912955,0.10812575574365176,2018,4,26,15,5,56,2018,4,26,23,16,29,2018,4,26,17,9,59
6.14,64.58333333333333,462.15,526.7333333333333,0.011656752309834198,0.09507096774193549,2018,4,26,15,27,50,2018,4,27,0,14,34,2018,4,26,16,32,25
6.087,211.86666666666667,41.78333333333333,253.65,0.023997634535777645,0.02873033354310887,2018,4,26,15,28,15,2018,4,26,19,41,54,2018,4,26,19,0,7
6.298,122.78333333333333,401.81666666666666,524.6,0.012005337399923752,0.05129360662413465,2018,4,26,15,45,26,2018,4,27,0,30,2,2018,4,26,17,48,13
4.182,69.26666666666667,431.18333333333334,500.45,0.008356479168748128,0.06037536092396536,2018,4,26,15,46,5,2018,4,27,0,6,32,2018,4,26,16,55,21
4.846,90.75,323.8833333333333,414.6333333333333,0.011687434681244474,0.053399449035812674,2018,4,26,15,46,33,2018,4,26,22,41,11,2018,4,26,17,17,18
2.65,52.93333333333333,305.6166666666667,358.55,0.007390879933063728,0.050062972292191435,2018,4,26,15,47,39,2018,4,26,21,46,12,2018,4,26,16,40,35
