kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
9.3,0.10778443113772457,2018,4,27,15,9,39,2018,4,27,16,35,56
2.945,0.05077586206896551,2018,4,27,15,14,35,2018,4,27,16,12,35
4.85,0.04174436953091378,2018,4,27,15,15,12,2018,4,27,17,11,23
10.978,0.037177851780775525,2018,4,27,15,16,3,2018,4,27,20,11,20
3.846,0.055671893848009656,2018,4,27,15,19,27,2018,4,27,16,28,32
19.124,0.07411445549670584,2018,4,27,15,27,27,2018,4,27,19,45,29
3.259,0.04796173657100809,2018,4,27,15,31,38,2018,4,27,16,39,35
13.972,0.04763723150357995,2018,4,27,15,42,36,2018,4,27,20,35,54
16.95,0.05518476314504314,2018,4,27,16,19,1,2018,4,27,21,26,10
6.444,0.03687201983597177,2018,4,27,16,25,9,2018,4,27,19,19,55
9.064,0.0763391353172375,2018,4,27,16,27,57,2018,4,27,18,26,41
9.67,0.054494223724992956,2018,4,27,16,28,35,2018,4,27,19,26,2
30.553,0.09579744983277592,2018,4,27,16,37,18,2018,4,27,21,56,14
2.485,0.028346007604562736,2018,4,27,16,38,52,2018,4,27,18,6,32
2.219,0.03265636497424577,2018,4,27,16,43,29,2018,4,27,17,51,26
5.606,0.06643492000790045,2018,4,27,16,47,18,2018,4,27,18,11,41
5.805,0.04282552563629657,2018,4,27,16,51,19,2018,4,27,19,6,52
11.729,0.04158482538556993,2018,4,27,16,56,15,2018,4,27,21,38,18
11.831,0.08328757479760647,2018,4,27,17,3,53,2018,4,27,19,25,56
15.894,0.08358664212463844,2018,4,27,17,10,25,2018,4,27,20,20,34
9.823,0.04165818490245971,2018,4,27,17,19,2,2018,4,27,21,14,50
1.832,0.0406508875739645,2018,4,27,17,26,41,2018,4,27,18,11,45
21.669,0.08183157099697885,2018,4,27,17,32,30,2018,4,27,21,57,18
1.759,0.004718558590781061,2018,4,27,18,17,36,2018,4,28,0,30,23
2.531,0.007472689695896074,2018,4,27,18,18,21,2018,4,27,23,57,3
2.848,0.030308620078041856,2018,4,27,18,32,36,2018,4,27,20,6,34
13.871,0.09148730350665055,2018,4,27,19,59,49,2018,4,27,22,31,26
6.523,0.05200372043582248,2018,4,27,20,15,40,2018,4,27,22,21,6
1.158,0.03333973128598848,2018,4,27,20,29,42,2018,4,27,21,4,26
11.337,0.08392597162245527,2018,4,27,21,25,0,2018,4,27,23,40,5
10.577,0.11120028035745576,2018,4,27,22,46,32,2018,4,28,0,21,39
12.49,0.04888135151001239,2018,4,28,0,14,16,2018,4,28,4,29,47
15.432,0.05698670605612999,2018,4,28,0,26,33,2018,4,28,4,57,21
13.31,0.1023846153846154,2018,4,28,0,34,19,2018,4,28,2,44,19
4.254,0.05150121065375302,2018,4,28,0,54,21,2018,4,28,2,16,57
13.191,0.07809176122348299,2018,4,28,1,31,6,2018,4,28,4,20,1
14.102,0.05404445579969341,2018,4,28,1,39,36,2018,4,28,6,0,32
4.002,0.05322988250942141,2018,4,28,1,45,55,2018,4,28,3,1,6
14.268,0.014418918008488851,2018,4,28,2,1,9,2018,4,28,18,30,41
4.229,0.05022565320665083,2018,4,28,3,15,17,2018,4,28,4,39,29
39.897,0.04065521985020635,2018,4,28,3,32,7,2018,4,28,19,53,28
6.419,0.052243624525230604,2018,4,28,3,49,38,2018,4,28,5,52,30
41.924,0.04272654697399487,2018,4,28,4,10,59,2018,4,28,20,32,12
11.873,0.05734825309933988,2018,4,28,4,33,52,2018,4,28,8,0,54
33.381,0.045774425779910866,2018,4,28,5,0,56,2018,4,28,17,10,11
16.741,0.10103198551599277,2018,4,28,6,2,40,2018,4,28,8,48,22
5.652,0.05860031104199067,2018,4,28,12,30,38,2018,4,28,14,7,5
2.284,0.11150528885272577,2018,4,28,13,8,46,2018,4,28,13,29,15
1.581,0.03177889447236181,2018,4,28,14,3,42,2018,4,28,14,53,27
13.508,0.11325880380100614,2018,4,28,14,51,33,2018,4,28,16,50,49
5.275,0.05608718766613504,2018,4,28,15,17,54,2018,4,28,16,51,57
18.737,0.11114384577360355,2018,4,28,15,43,56,2018,4,28,18,32,31
3.537,0.05780986107327704,2018,4,28,16,6,31,2018,4,28,17,7,42
3.242,0.02662833675564682,2018,4,28,16,49,44,2018,4,28,18,51,29
17.61,0.09709612203639036,2018,4,28,17,4,52,2018,4,28,20,6,14
13.915,0.10032444124008652,2018,4,28,17,22,23,2018,4,28,19,41,5
7.292,0.10241573033707864,2018,4,28,17,46,54,2018,4,28,18,58,6
8.469,0.11424010791366905,2018,4,28,18,10,26,2018,4,28,19,24,34
8.968,0.0988027910392949,2018,4,28,18,17,44,2018,4,28,19,48,30
4.445,0.05503508047874536,2018,4,28,18,20,11,2018,4,28,19,40,57
40.111,0.1108804422944022,2018,4,28,18,27,39,2018,4,29,0,29,24
12.963,0.05946784922394679,2018,4,28,18,34,1,2018,4,28,22,12,0
13.913,0.09858053849787436,2018,4,28,18,47,51,2018,4,28,21,8,59
5.99,0.056714533691020995,2018,4,28,19,4,50,2018,4,28,20,50,27
13.909,0.10364381520119226,2018,4,28,19,41,57,2018,4,28,21,56,9
1.745,0.10872274143302181,2018,4,28,20,13,3,2018,4,28,20,29,6
2.27,0.11302904564315354,2018,4,28,20,31,30,2018,4,28,20,51,35
19.538,0.10993904154553127,2018,4,28,21,17,0,2018,4,29,0,14,43
6.942,0.05101285976729945,2018,4,28,23,2,45,2018,4,29,1,18,50
13.914,0.053269525267993875,2018,4,28,23,41,0,2018,4,29,4,2,12
40.858,0.11095179904955872,2018,4,29,0,6,57,2018,4,29,6,15,12
12.102,0.05892874533354975,2018,4,29,0,27,2,2018,4,29,3,52,24
6.142,0.09466221423067044,2018,4,29,2,4,16,2018,4,29,3,9,9
13.619,0.11300511685797261,2018,4,29,2,36,9,2018,4,29,4,36,40
5.355,0.09383761682242991,2018,4,29,4,15,10,2018,4,29,5,12,14
17.25,0.039356605065023954,2018,4,29,5,42,4,2018,4,29,13,0,22
4.026,0.05460216998191681,2018,4,29,16,26,36,2018,4,29,17,40,20
8.838,0.05396702625686952,2018,4,29,17,25,14,2018,4,29,20,9,0
10.047,0.11265557839656139,2018,4,29,17,59,14,2018,4,29,19,28,25
13.595,0.06942127659574468,2018,4,29,18,30,36,2018,4,29,21,46,26
8.13,0.09169172932330827,2018,4,29,18,32,13,2018,4,29,20,0,53
11.632,0.05932675960557633,2018,4,29,18,36,13,2018,4,29,21,52,17
0.644,0.10528610354223435,2018,4,29,18,40,51,2018,4,29,18,46,58
28.647,0.10970257850395711,2018,4,29,18,47,15,2018,4,29,23,8,23
13.919,0.08964577071704594,2018,4,29,18,53,39,2018,4,29,21,28,55
11.826,0.11012882197733975,2018,4,29,19,32,58,2018,4,29,21,20,21
3.99,0.1089171974522293,2018,4,29,20,9,21,2018,4,29,20,45,59
8.84,0.1123728813559322,2018,4,29,20,26,33,2018,4,29,21,45,13
1.16,0.09456521739130433,2018,4,29,20,27,25,2018,4,29,20,39,41
13.927,0.03943650007079145,2018,4,29,21,2,34,2018,4,30,2,55,43
1.909,0.109293893129771,2018,4,29,21,22,44,2018,4,29,21,40,12
13.904,0.09371377218602561,2018,4,29,21,28,4,2018,4,29,23,56,26
4.767,0.04469760900140647,2018,4,29,21,47,40,2018,4,29,23,34,19
2.303,0.05576271186440678,2018,4,29,22,0,37,2018,4,29,22,41,55
25.761,0.10388198131594865,2018,4,29,22,40,54,2018,4,30,2,48,53
2.684,0.01363243883856768,2018,4,29,23,10,58,2018,4,30,2,27,51
13.076,0.05762467866323908,2018,4,29,23,44,39,2018,4,30,3,31,34
3.504,0.10848297213622292,2018,4,29,23,53,59,2018,4,30,0,26,17
13.91,0.057805790275661455,2018,4,30,0,32,15,2018,4,30,4,32,53
2.552,0.05531791907514451,2018,4,30,0,32,40,2018,4,30,1,18,48
13.853,0.10460357412534609,2018,4,30,0,40,53,2018,4,30,2,53,19
1.544,0.032211404728789986,2018,4,30,0,52,53,2018,4,30,1,40,49
3.811,0.10852396772662554,2018,4,30,2,19,40,2018,4,30,2,54,47
10.44,0.058531115679312275,2018,4,30,3,42,53,2018,4,30,6,41,15
13.016,0.03870545670813302,2018,4,30,6,56,41,2018,4,30,12,32,58
3.51,0.05741548527808069,2018,4,30,13,21,35,2018,4,30,14,22,43
10.083,0.08684754521963825,2018,4,30,13,55,57,2018,4,30,15,52,3
10.81,0.057115181401902075,2018,4,30,14,56,42,2018,4,30,18,5,58
6.249,0.0526010101010101,2018,4,30,15,4,34,2018,4,30,17,3,22
16.386,0.07840816652045618,2018,4,30,15,7,26,2018,4,30,18,36,25
47.808,0.08536634724123565,2018,4,30,15,7,49,2018,5,1,0,27,51
3.566,0.05850697292863002,2018,4,30,15,13,47,2018,4,30,16,14,44
