kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
21.426,0.23289130434782607,2018,1,4,12,15,0,2018,1,4,13,47,0
1.248,0.08914285714285715,2018,1,4,12,31,0,2018,1,4,12,45,0
1.615,0.323,2018,1,4,12,33,0,2018,1,4,12,38,0
3.707,0.7414,2018,1,4,12,57,0,2018,1,4,13,2,0
2.39,0.08241379310344828,2018,1,4,14,10,0,2018,1,4,14,39,0
10.815,0.08383720930232558,2018,1,4,14,41,0,2018,1,4,16,50,0
15.339,0.20452,2018,1,4,15,36,0,2018,1,4,16,51,0
10.325,0.0812992125984252,2018,1,4,15,38,0,2018,1,4,17,45,0
1.472,0.2944,2018,1,4,15,41,0,2018,1,4,15,46,0
11.303,0.0862824427480916,2018,1,4,15,54,0,2018,1,4,18,5,0
9.733,0.3604814814814815,2018,1,4,18,8,0,2018,1,4,18,35,0
15.448,0.06518143459915612,2018,1,4,19,0,0,2018,1,4,22,57,0
0.784,0.1568,2018,1,4,19,20,0,2018,1,4,19,25,0
9.57,0.38280000000000003,2018,1,4,19,21,0,2018,1,4,19,46,0
15.172,0.06321666666666667,2018,1,4,19,41,0,2018,1,4,23,41,0
1.527,0.0727142857142857,2018,1,4,21,11,0,2018,1,4,21,32,0
5.884,0.6537777777777778,2018,1,4,21,47,0,2018,1,4,21,56,0
7.179,0.08251724137931035,2018,1,4,22,19,0,2018,1,4,23,46,0
32.06,2.4661538461538464,2018,1,4,22,25,0,2018,1,4,22,38,0
2.234,0.10154545454545455,2018,1,4,23,48,0,2018,1,5,0,10,0
0.712,0.1424,2018,1,5,5,21,0,2018,1,5,5,26,0
7.801,0.20528947368421052,2018,1,5,5,46,0,2018,1,5,6,24,0
5.642,0.31344444444444447,2018,1,5,5,57,0,2018,1,5,6,15,0
8.319,0.24467647058823533,2018,1,5,6,3,0,2018,1,5,6,37,0
1.521,0.08947058823529411,2018,1,5,6,18,0,2018,1,5,6,35,0
1.924,0.060125,2018,1,5,7,4,0,2018,1,5,7,36,0
0.67,0.07444444444444445,2018,1,5,7,13,0,2018,1,5,7,22,0
1.113,0.2226,2018,1,5,7,55,0,2018,1,5,8,0,0
6.982,1.3964,2018,1,5,8,45,0,2018,1,5,8,50,0
9.376,0.05752147239263803,2018,1,5,8,47,0,2018,1,5,11,30,0
4.086,0.08011764705882353,2018,1,5,9,51,0,2018,1,5,10,42,0
36.178,0.055318042813455655,2018,1,5,10,18,0,2018,1,5,21,12,0
8.409,0.07508035714285714,2018,1,5,10,53,0,2018,1,5,12,45,0
7.691,0.0784795918367347,2018,1,5,11,38,0,2018,1,5,13,16,0
